City_ID,City,Lat,Lng,Feels Like,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
791,Conceicao Do Araguaia,-8.2578,-49.2647,89.73,83.37,83.37,72,99,4.45,BR,overcast clouds,2021-12-05 20:27:26
792,Ingham,42.6,-84.3833,25.59,31.64,36.05,85,90,10.36,US,light snow,2021-12-05 20:27:27
793,Lodwar,3.1191,35.5973,83.57,83.48,83.48,45,80,16.33,KE,broken clouds,2021-12-05 20:27:27
794,Nyurba,63.2842,118.3319,-38.92,-26.32,-26.32,91,23,6.04,RU,few clouds,2021-12-05 20:27:27
795,Ortakoy,38.7373,34.0387,26.74,32.25,32.25,59,0,5.73,TR,clear sky,2021-12-05 20:27:28
796,Luz,-19.8014,-45.6856,79.97,79.97,79.97,63,85,4.72,BR,light rain,2021-12-05 20:27:28
797,Shahr-E Babak,30.1165,55.1186,45.48,48.97,48.97,28,97,8.08,IR,overcast clouds,2021-12-05 20:27:28
798,Lata,40.1629,-8.3327,52.75,48.04,54.01,92,45,5.32,PT,scattered clouds,2021-12-05 20:27:29
799,Mbaiki,3.8678,17.9892,77.59,77.04,77.04,67,81,1.7,CF,broken clouds,2021-12-05 20:27:29
800,Abha,18.2164,42.5053,50.81,52.05,55.22,82,0,0.0,SA,clear sky,2021-12-05 20:27:29
801,Waipawa,-41.4122,175.5153,49.86,49.3,52.45,97,100,8.7,NZ,moderate rain,2021-12-05 20:27:30
802,Jasper,37.2001,-94.3502,69.35,67.84,72.54,42,20,8.99,US,few clouds,2021-12-05 20:27:30
803,Dakar,14.6937,-17.4441,76.23,75.33,77.88,78,100,6.91,SN,overcast clouds,2021-12-05 20:26:54
804,Chapaevsk,52.9813,49.7112,20.08,23.99,24.01,94,98,3.11,RU,overcast clouds,2021-12-05 20:27:30
805,Rawson,-43.3002,-65.1023,68.16,69.28,69.28,48,18,16.04,AR,few clouds,2021-12-05 20:26:17
806,Inirida,3.8653,-67.9239,95.27,88.72,88.72,57,100,0.54,CO,overcast clouds,2021-12-05 20:27:31
